mood,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
4,0.591,0.386,0.0418,0.791,2.18E-05,0.158,0.297
4,0.648,0.308,0.04,0.886,0.0774,0.124,0.198
4,0.898,0.435,0.0489,0.555,0,0.139,0.836
4,0.473,0.349,0.0361,0.619,0,0.109,0.39
4,0.599,0.465,0.0314,0.643,1.57E-06,0.149,0.0678
4,0.67,0.743,0.0393,0.237,0,0.465,0.571
4,0.681,0.341,0.0567,0.864,0,0.319,0.431
4,0.538,0.15,0.0475,0.936,0,0.105,0.55
4,0.664,0.573,0.0277,0.613,0.000363,0.0857,0.566
4,0.604,0.36,0.0253,0.868,0.0343,0.112,0.37
4,0.536,0.189,0.0301,0.831,0,0.117,0.341
4,0.479,0.545,0.0688,0.365,0,0.0963,0.244
4,0.65,0.65,0.0288,0.133,4.01E-05,0.217,0.183
4,0.615,0.483,0.0351,0.892,0,0.175,0.503
4,0.617,0.34,0.029,0.775,0,0.11,0.517
4,0.696,0.355,0.0295,0.634,0,0.121,0.527
4,0.493,0.4,0.0261,0.0425,1.47E-06,0.133,0.15
4,0.63,0.337,0.0347,0.8,0,0.12,0.231
4,0.641,0.28,0.0312,0.815,0,0.0866,0.497
4,0.69,0.319,0.0286,0.827,0,0.232,0.225
4,0.529,0.351,0.0368,0.543,0,0.0851,0.529
4,0.599,0.215,0.0799,0.84,0,0.148,0.48
4,0.509,0.228,0.0332,0.92,0,0.104,0.586
4,0.478,0.527,0.0285,0.506,0,0.292,0.541
4,0.316,0.146,0.0397,0.935,2.03E-06,0.096,0.505
4,0.733,0.291,0.0291,0.64,0.000131,0.0918,0.647
4,0.626,0.382,0.0383,0.796,0,0.188,0.508
4,0.47,0.203,0.0371,0.758,2.41E-06,0.312,0.325
4,0.622,0.221,0.0583,0.901,0,0.107,0.297
4,0.303,0.393,0.0458,0.777,0.000102,0.106,0.396
4,0.692,0.121,0.0358,0.937,0,0.0935,0.354
4,0.804,0.472,0.056,0.763,0,0.116,0.912
4,0.707,0.43,0.0306,0.786,0,0.119,0.771
4,0.641,0.3,0.0804,0.776,0.000204,0.125,0.445
4,0.441,0.391,0.0353,0.87,0,0.133,0.3
4,0.405,0.241,0.043,0.859,0,0.135,0.307
4,0.628,0.485,0.0314,0.811,0,0.113,0.484
4,0.585,0.484,0.0294,0.382,0,0.126,0.411
4,0.568,0.18,0.0284,0.758,6.17E-05,0.111,0.228
4,0.619,0.241,0.046,0.9,0,0.116,0.0719
4,0.502,0.385,0.03,0.803,0,0.0927,0.336
4,0.355,0.247,0.0368,0.917,0,0.0948,0.349
4,0.839,0.444,0.226,0.475,2.58E-06,0.297,0.486
4,0.6,0.845,0.0311,0.048,0,0.24,0.392
4,0.766,0.689,0.124,0.328,0,0.154,0.836
4,0.522,0.382,0.031,0.389,0,0.133,0.519
4,0.439,0.323,0.0311,0.909,0,0.11,0.212
4,0.562,0.252,0.0273,0.864,0,0.18,0.206
4,0.498,0.12,0.0487,0.851,0,0.171,0.338
4,0.706,0.112,0.0391,0.827,4.03E-06,0.125,0.414
4,0.475,0.237,0.0342,0.865,0,0.0881,0.595
4,0.488,0.279,0.0506,0.838,0,0.125,0.414
4,0.4,0.207,0.0498,0.936,0,0.0848,0.609
4,0.717,0.391,0.0309,0.888,0,0.0938,0.507
4,0.591,0.386,0.0418,0.791,2.18E-05,0.158,0.297
4,0.443,0.535,0.167,0.718,0,0.144,0.345
